,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
285,2712,Meteorological,Storm,(Mameng),
286,2713,Meteorological,Storm,(Pepang),
287,2714,Meteorological,Storm,(Yayang),
288,2726,Geophysical,Volcanic activity,Gamalama,
289,2752,Meteorological,Storm,Orchid,
290,2780,Meteorological,Storm,Kim,
291,2781,Meteorological,Storm,Betty (Aring),
292,2782,Meteorological,Storm,(Biring),
293,2783,Meteorological,Storm,(Ditang),
294,2784,Meteorological,Storm,(Nitang/Osang),
295,2787,Meteorological,Storm,Hyacinthe,
296,2793,Geophysical,Volcanic activity,Mt. Semeru,
297,2813,Meteorological,Storm,Thad,
298,2823,Meteorological,Storm,St. Lidia,
299,2829,Meteorological,Storm,Cliff,
300,2831,Meteorological,Storm,Gyan,
301,2847,Meteorological,Storm,Clara,
302,2848,Meteorological,Storm,Irma (Anding),
303,2849,Meteorological,Storm,Lee (Dinang),
304,2850,Meteorological,Storm,(Daling),
305,2851,Meteorological,Storm,(Rubing),
306,2852,Meteorological,Storm,(Yeyeng),
307,2861,Climatological,Drought,,Famine
308,2864,Meteorological,Storm,Alleta,
309,2865,Geophysical,Volcanic activity,Mt. Galunggung,
310,2866,Geophysical,Volcanic activity,Mt. Soputan,
311,2884,Meteorological,Storm,Bess,
312,2885,Meteorological,Storm,Ellis,
313,2894,Hydrological,Landslide,Cliff,
314,2895,Meteorological,Storm,"Benedic, Electre, Frida, Justine",
315,2897,Geophysical,Volcanic activity,El Chichon,
316,2899,Meteorological,Storm,Paul,
317,2904,Meteorological,Storm,Damia,
318,2905,Meteorological,Storm,Frida,
319,2917,Meteorological,Storm,Mamie,
320,2918,Meteorological,Storm,Nelson (Bising),
321,2919,Meteorological,Storm,Faye,
322,2920,Meteorological,Storm,(Ruping),
323,2921,Meteorological,Storm,Nancy (Weling),
324,2922,Meteorological,Storm,(Akang),
325,2923,Meteorological,Storm,(Emang),
326,2924,Meteorological,Storm,(Norming),
327,2925,Meteorological,Storm,(Aning),
328,2941,Geophysical,Volcanic activity,Mt. Gamkunoro,
329,2942,Geophysical,Volcanic activity,Mt. Colo,
330,2943,Geophysical,Volcanic activity,Mt. Gamalama,
331,2967,Geophysical,Volcanic activity,Mount Oyama,
332,2969,Meteorological,Storm,Forest,
333,2979,Meteorological,Storm,Tico,
334,2982,Meteorological,Storm,Andy,
335,2996,Meteorological,Storm,Vera (Bebeng),
336,2997,Meteorological,Storm,Ellen (Herming),
337,2998,Meteorological,Storm,Orchid (Warling),
338,3002,Geophysical,Volcanic activity,Rabaul,
339,3010,Climatological,Drought,,El Nino
340,3013,Meteorological,Storm,Orama,
341,3014,Meteorological,Storm,Veena,
342,3027,Geophysical,Volcanic activity,Mt. Karangetan,
343,3047,Geophysical,Volcanic activity,Mount Krafla,
344,3061,Meteorological,Storm,Kamisy,
345,3065,Meteorological,Storm,Domoina,
346,3075,Geophysical,Volcanic activity,Mayon,
347,3076,Meteorological,Storm,June (Maring),
348,3077,Meteorological,Storm,Agnes (Undang),
349,3078,Meteorological,Storm,Ike (Nitang) and Maring,
350,3079,Meteorological,Storm,Warren (Reming),
