,CalenderId,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay
713,877,1909,1,1,1909,1,1
714,879,1910,8,6,1910,8,6
715,885,1910,1,1,1910,1,1
716,886,1911,1,31,1911,1,31
717,887,1911,8,1,1911,8,1
718,888,1912,8,9,1912,8,9
719,889,1912,11,18,1912,11,18
720,890,1912,9,1,1912,9,1
721,891,1912,10,1,1912,10,1
722,893,1913,11,4,1913,11,4
723,894,1913,6,14,1913,6,14
724,895,1913,3,1,1913,3,1
725,896,1914,3,16,1914,3,16
726,897,1914,1,3,1914,1,3
727,898,1914,1,1,1914,1,1
728,899,1915,1,13,1915,1,13
729,900,1915,6,22,1915,6,22
730,901,1915,8,1,1915,8,1
731,902,1917,9,22,1917,9,22
732,903,1917,9,1,1917,9,1
733,905,1918,8,15,1918,8,15
734,906,1918,10,11,1918,10,11
735,908,1918,1,1,1918,1,1
736,909,1918,10,15,1918,10,15
737,910,1919,9,1,1919,9,1
738,911,1920,9,7,1920,9,7
739,912,1920,4,20,1920,4,20
740,913,1921,1,1,1921,1,1
741,914,1922,2,11,1922,2,11
742,915,1923,9,1,1923,9,1
743,916,1923,5,26,1923,5,26
744,917,1923,9,22,1923,9,22
745,919,1923,9,1,1923,9,1
746,922,1923,7,10,1923,7,10
747,924,1924,8,1,1924,8,1
748,926,1925,3,17,1925,3,18
749,927,1925,6,29,1925,6,29
750,928,1926,1,1,1926,1,1
751,930,1926,9,1,1926,9,1
752,933,1926,9,1,1926,9,1
753,934,1927,7,11,1927,7,11
754,935,1927,3,7,1927,3,7
755,936,1927,9,1,1927,9,1
756,937,1928,9,13,1928,9,13
757,938,1928,9,12,1928,9,12
758,939,1928,7,6,1928,7,6
759,940,1928,9,1,1928,9,1
760,941,1928,5,1,1928,5,1
761,943,1928,3,30,1928,3,30
762,945,1929,6,17,1929,6,17
763,946,1929,5,1,1929,5,1
764,947,1929,5,10,1929,5,10
765,948,1930,5,5,1930,5,5
766,949,1930,5,6,1930,5,6
767,950,1930,7,23,1930,7,23
768,951,1930,11,26,1930,11,26
